"scenario","name","country_code","period","tfr"
2,"Russian Federation",643,"1975-1980",1.978
2,"Rwanda",646,"1975-1980",8.237
2,"Saint Lucia",662,"1975-1980",5.196
2,"Saint Vincent and the Grenadines",670,"1975-1980",4.539
2,"Sao Tome and Principe",678,"1975-1980",6.494
2,"Bolivia (Plurinational State of)",68,"1975-1980",5.669
2,"Saudi Arabia",682,"1975-1980",7.297
2,"Senegal",686,"1975-1980",7.269
2,"Serbia",688,"1975-1980",1.871
2,"Sierra Leone",694,"1975-1980",6.568
2,"Bosnia and Herzegovina",70,"1975-1980",2.188
2,"Singapore",702,"1975-1980",1.923
2,"Slovakia",703,"1975-1980",2.499
2,"Viet Nam",704,"1975-1980",5.292
2,"Slovenia",705,"1975-1980",2.191
2,"Somalia",706,"1975-1980",7.069
2,"South Africa",710,"1975-1980",4.975
2,"Zimbabwe",716,"1975-1980",6.842
2,"Botswana",72,"1975-1980",6.484
2,"Spain",724,"1975-1980",2.62
2,"South Sudan",728,"1975-1980",6.906
2,"Sudan",729,"1975-1980",6.865
2,"Suriname",740,"1975-1980",4.354
2,"Swaziland",748,"1975-1980",6.683
2,"Sweden",752,"1975-1980",1.67
2,"Switzerland",756,"1975-1980",1.545
2,"Brazil",76,"1975-1980",4.267
2,"Syrian Arab Republic",760,"1975-1980",7.387
2,"Tajikistan",762,"1975-1980",6.398
2,"Thailand",764,"1975-1980",3.923
2,"Togo",768,"1975-1980",7.094
2,"Tonga",776,"1975-1980",5.477
2,"Trinidad and Tobago",780,"1975-1980",3.206
2,"United Arab Emirates",784,"1975-1980",6.149
2,"Tunisia",788,"1975-1980",5.708
2,"Turkey",792,"1975-1980",4.797
2,"Turkmenistan",795,"1975-1980",5.665
2,"Albania",8,"1975-1980",4.142
2,"Uganda",800,"1975-1980",7.201
2,"Ukraine",804,"1975-1980",1.972
2,"The former Yugoslav Republic of Macedonia",807,"1975-1980",2.5
2,"Egypt",818,"1975-1980",5.744
2,"United Kingdom of Great Britain and Northern Ireland",826,"1975-1980",1.77
2,"United Republic of Tanzania",834,"1975-1980",6.982
2,"Belize",84,"1975-1980",6.165
2,"United States of America",840,"1975-1980",1.769
2,"Burkina Faso",854,"1975-1980",7.051
2,"Uruguay",858,"1975-1980",2.892
2,"Venezuela (Bolivarian Republic of)",862,"1975-1980",4.493
2,"Samoa",882,"1975-1980",6.38
2,"Yemen",887,"1975-1980",8.508
2,"Zambia",894,"1975-1980",7.321
2,"Solomon Islands",90,"1975-1980",6.937
2,"World",900,"1975-1980",3.896
2,"Africa",903,"1975-1980",6.668
2,"Latin America and the Caribbean",904,"1975-1980",4.465
2,"Northern America",905,"1975-1980",1.772
2,"Eastern Asia",906,"1975-1980",2.875
2,"Europe",908,"1975-1980",2
2,"Oceania",909,"1975-1980",2.755
2,"Eastern Africa",910,"1975-1980",7.144
2,"Middle Africa",911,"1975-1980",6.601
2,"Northern Africa",912,"1975-1980",6.232
2,"Southern Africa",913,"1975-1980",5.125
2,"Western Africa",914,"1975-1980",6.938
2,"Caribbean",915,"1975-1980",3.629
2,"Central America",916,"1975-1980",5.484
2,"South-Eastern Asia",920,"1975-1980",4.791
2,"Western Asia",922,"1975-1980",5.441
2,"Eastern Europe",923,"1975-1980",2.093
2,"Northern Europe",924,"1975-1980",1.829
2,"Southern Europe",925,"1975-1980",2.284
2,"Western Europe",926,"1975-1980",1.653
2,"Australia and New Zealand",927,"1975-1980",2.056
2,"Melanesia",928,"1975-1980",5.636
2,"South America",931,"1975-1980",4.219
2,"Asia",935,"1975-1980",4.136
2,"Micronesia",954,"1975-1980",4.931
2,"Polynesia",957,"1975-1980",5.233
2,"Bulgaria",100,"1980-1985",2.017
2,"Myanmar",104,"1980-1985",4.667
2,"Burundi",108,"1980-1985",7.318
2,"Belarus",112,"1980-1985",2.054
2,"Cambodia",116,"1980-1985",6.129
2,"Algeria",12,"1980-1985",6.61
2,"Cameroon",120,"1980-1985",6.62
2,"Canada",124,"1980-1985",1.698
2,"Cape Verde",132,"1980-1985",6.171
2,"Central African Republic",140,"1980-1985",6.124
2,"Sri Lanka",144,"1980-1985",3.32
2,"Chad",148,"1980-1985",6.961
2,"Chile",152,"1980-1985",2.66
2,"China",156,"1980-1985",2.734
2,"Taiwan Province of China",158,"1980-1985",2.304
2,"Colombia",170,"1980-1985",3.638
2,"Comoros",174,"1980-1985",7.057
2,"Congo",178,"1980-1985",5.896
2,"Democratic Republic of the Congo",180,"1980-1985",6.519
2,"Costa Rica",188,"1980-1985",3.548
2,"Croatia",191,"1980-1985",1.893
2,"Cuba",192,"1980-1985",1.7
2,"Cyprus",196,"1980-1985",2.387
2,"Czech Republic",203,"1980-1985",2.004
2,"Benin",204,"1980-1985",7.029
2,"Denmark",208,"1980-1985",1.435
2,"Dominican Republic",214,"1980-1985",4.047
2,"Ecuador",218,"1980-1985",4.506
2,"El Salvador",222,"1980-1985",4.82
2,"Equatorial Guinea",226,"1980-1985",5.88
2,"Ethiopia",231,"1980-1985",7.369
2,"Estonia",233,"1980-1985",2.101
2,"Angola",24,"1980-1985",7.46
2,"Fiji",242,"1980-1985",3.859
2,"Finland",246,"1980-1985",1.683
2,"France",250,"1980-1985",1.89
2,"French Guiana",254,"1980-1985",3.485
2,"French Polynesia",258,"1980-1985",3.849
2,"Gabon",266,"1980-1985",5.724
2,"Georgia",268,"1980-1985",2.316
2,"Gambia",270,"1980-1985",6.387
2,"Occupied Palestinian Territory",275,"1980-1985",7.119
2,"Germany",276,"1980-1985",1.475
2,"Ghana",288,"1980-1985",6.384
2,"Kiribati",296,"1980-1985",4.971
2,"Greece",300,"1980-1985",2.112
2,"Azerbaijan",31,"1980-1985",3.36
2,"Guadeloupe",312,"1980-1985",2.534
2,"Argentina",32,"1980-1985",3.208
2,"Guatemala",320,"1980-1985",6.036
2,"Guinea",324,"1980-1985",6.571
2,"Guyana",328,"1980-1985",3.637
2,"Haiti",332,"1980-1985",5.662
2,"Honduras",340,"1980-1985",6.162
2,"Hong Kong Special Administrative Region of China",344,"1980-1985",1.796
2,"Hungary",348,"1980-1985",1.819
2,"Iceland",352,"1980-1985",2.282
2,"India",356,"1980-1985",4.635
2,"Australia",36,"1980-1985",1.91
2,"Indonesia",360,"1980-1985",4.227
2,"Iran (Islamic Republic of)",364,"1980-1985",6.529
2,"Iraq",368,"1980-1985",6.449
2,"Ireland",372,"1980-1985",2.905
2,"Israel",376,"1980-1985",3.25
2,"Italy",380,"1980-1985",1.548
2,"Cote d'Ivoire",384,"1980-1985",7.477
2,"Jamaica",388,"1980-1985",3.561
2,"Japan",392,"1980-1985",1.735
2,"Kazakhstan",398,"1980-1985",3.059
2,"Afghanistan",4,"1980-1985",7.552
2,"Austria",40,"1980-1985",1.613
2,"Jordan",400,"1980-1985",6.935
2,"Kenya",404,"1980-1985",7.38
2,"Democratic People's Republic of Korea",408,"1980-1985",2.752
2,"Republic of Korea",410,"1980-1985",2.377
2,"Kuwait",414,"1980-1985",5.025
2,"Kyrgyzstan",417,"1980-1985",4.205
2,"Lao People's Democratic Republic",418,"1980-1985",6.362
2,"Lebanon",422,"1980-1985",3.879
2,"Lesotho",426,"1980-1985",5.61
2,"Latvia",428,"1980-1985",2.009
2,"Liberia",430,"1980-1985",6.796
2,"Bahamas",44,"1980-1985",2.795
2,"Lithuania",440,"1980-1985",2.023
2,"Luxembourg",442,"1980-1985",1.479
2,"Macao Special Administrative Region of China",446,"1980-1985",1.946
2,"Madagascar",450,"1980-1985",6.561
2,"Malawi",454,"1980-1985",7.483
2,"Malaysia",458,"1980-1985",3.962
2,"Maldives",462,"1980-1985",7.147
2,"Mali",466,"1980-1985",7.272
2,"Malta",470,"1980-1985",1.993
2,"Martinique",474,"1980-1985",2.157
2,"Bahrain",48,"1980-1985",4.549
2,"Mauritius",480,"1980-1985",2.517
2,"Mexico",484,"1980-1985",4.46
2,"Mongolia",496,"1980-1985",5.852
2,"Republic of Moldova",498,"1980-1985",2.496
2,"Montenegro",499,"1980-1985",2.168
2,"Bangladesh",50,"1980-1985",6.059
2,"Morocco",504,"1980-1985",5.489
2,"Mozambique",508,"1980-1985",6.433
2,"Armenia",51,"1980-1985",2.542
2,"Oman",512,"1980-1985",8.049
2,"Namibia",516,"1980-1985",6.082
2,"Nepal",524,"1980-1985",5.582
2,"Netherlands",528,"1980-1985",1.522
2,"Curaçao",531,"1980-1985",2.273
2,"Aruba",533,"1980-1985",2.365
2,"New Caledonia",540,"1980-1985",3.438
2,"Vanuatu",548,"1980-1985",5.595
2,"Central Asia",5500,"1980-1985",4.215
2,"Southern Asia",5501,"1980-1985",5.027
2,"New Zealand",554,"1980-1985",1.969
2,"Nicaragua",558,"1980-1985",5.727
2,"Belgium",56,"1980-1985",1.614
2,"Niger",562,"1980-1985",7.858
2,"Nigeria",566,"1980-1985",6.788
2,"Norway",578,"1980-1985",1.69
2,"Micronesia (Federated States of)",583,"1980-1985",6.004
2,"Pakistan",586,"1980-1985",6.674
2,"Panama",591,"1980-1985",3.672
2,"Paraguay",600,"1980-1985",5.107
2,"Peru",604,"1980-1985",4.8
2,"Philippines",608,"1980-1985",4.932
2,"Poland",616,"1980-1985",2.3
2,"Portugal",620,"1980-1985",2.059
2,"Guinea-Bissau",624,"1980-1985",6.623
2,"Timor-Leste",626,"1980-1985",5.5
2,"Puerto Rico",630,"1980-1985",2.59
2,"Qatar",634,"1980-1985",5.208
2,"Reunion",638,"1980-1985",2.857
2,"Bhutan",64,"1980-1985",6.394
2,"Romania",642,"1980-1985",2.257
2,"Russian Federation",643,"1980-1985",2.002
2,"Rwanda",646,"1980-1985",8.058
2,"Saint Lucia",662,"1980-1985",4.344
2,"Saint Vincent and the Grenadines",670,"1980-1985",3.669
2,"Sao Tome and Principe",678,"1980-1985",6.274
2,"Bolivia (Plurinational State of)",68,"1980-1985",5.351
2,"Saudi Arabia",682,"1980-1985",7.029
2,"Senegal",686,"1980-1985",7.223
2,"Serbia",688,"1980-1985",1.838
2,"Sierra Leone",694,"1980-1985",6.569
2,"Bosnia and Herzegovina",70,"1980-1985",2.068
2,"Singapore",702,"1980-1985",1.658
2,"Slovakia",703,"1980-1985",2.287
2,"Viet Nam",704,"1980-1985",4.613
2,"Slovenia",705,"1980-1985",1.911
2,"Somalia",706,"1980-1985",7.247
2,"South Africa",710,"1980-1985",4.676
2,"Zimbabwe",716,"1980-1985",6.367
2,"Botswana",72,"1980-1985",5.929
2,"Spain",724,"1980-1985",1.942
2,"South Sudan",728,"1980-1985",7.013
2,"Sudan",729,"1980-1985",6.638
2,"Suriname",740,"1980-1985",3.723
2,"Swaziland",748,"1980-1985",6.401
2,"Sweden",752,"1980-1985",1.639
2,"Switzerland",756,"1980-1985",1.538
2,"Brazil",76,"1980-1985",3.828
2,"Syrian Arab Republic",760,"1980-1985",6.878
2,"Tajikistan",762,"1980-1985",5.935
2,"Thailand",764,"1980-1985",3.007
2,"Togo",768,"1980-1985",6.777
2,"Tonga",776,"1980-1985",5.442
2,"Trinidad and Tobago",780,"1980-1985",3.196
2,"United Arab Emirates",784,"1980-1985",5.64
2,"Tunisia",788,"1980-1985",4.904
2,"Turkey",792,"1980-1985",4.166
2,"Turkmenistan",795,"1980-1985",5.027
2,"Albania",8,"1980-1985",3.446
2,"Uganda",800,"1980-1985",7.076
2,"Ukraine",804,"1980-1985",2.014
2,"The former Yugoslav Republic of Macedonia",807,"1980-1985",2.407
2,"Egypt",818,"1980-1985",5.393
2,"United Kingdom of Great Britain and Northern Ireland",826,"1980-1985",1.803
2,"United Republic of Tanzania",834,"1980-1985",6.794
2,"Belize",84,"1980-1985",5.542
2,"United States of America",840,"1980-1985",1.811
2,"Burkina Faso",854,"1980-1985",7.245
2,"Uruguay",858,"1980-1985",2.529
2,"Venezuela (Bolivarian Republic of)",862,"1980-1985",4.022
2,"Samoa",882,"1980-1985",5.664
2,"Yemen",887,"1980-1985",8.787
2,"Zambia",894,"1980-1985",7.064
2,"Solomon Islands",90,"1980-1985",6.512
2,"World",900,"1980-1985",3.662
2,"Africa",903,"1980-1985",6.508
2,"Latin America and the Caribbean",904,"1980-1985",3.967
2,"Northern America",905,"1980-1985",1.799
2,"Eastern Asia",906,"1980-1985",2.619
2,"Europe",908,"1980-1985",1.886
2,"Oceania",909,"1980-1985",2.582
2,"Eastern Africa",910,"1980-1985",7.037
2,"Middle Africa",911,"1980-1985",6.674
2,"Northern Africa",912,"1980-1985",5.794
2,"Southern Africa",913,"1980-1985",4.813
2,"Western Africa",914,"1980-1985",6.885
2,"Caribbean",915,"1980-1985",3.228
2,"Central America",916,"1980-1985",4.657
2,"South-Eastern Asia",920,"1980-1985",4.271
2,"Western Asia",922,"1980-1985",5.071
2,"Eastern Europe",923,"1980-1985",2.064
2,"Northern Europe",924,"1980-1985",1.817
2,"Southern Europe",925,"1980-1985",1.868
2,"Western Europe",926,"1980-1985",1.633
2,"Australia and New Zealand",927,"1980-1985",1.922
2,"Melanesia",928,"1980-1985",5.293
2,"South America",931,"1980-1985",3.812
2,"Asia",935,"1980-1985",3.796
2,"Micronesia",954,"1980-1985",4.452
2,"Polynesia",957,"1980-1985",4.751
2,"Bulgaria",100,"1985-1990",1.965
2,"Myanmar",104,"1985-1990",3.924
2,"Burundi",108,"1985-1990",7.353
2,"Belarus",112,"1985-1990",2.101
2,"Cambodia",116,"1985-1990",6.061
2,"Algeria",12,"1985-1990",5.362
2,"Cameroon",120,"1985-1990",6.534
2,"Canada",124,"1985-1990",1.686
2,"Cape Verde",132,"1985-1990",5.692
2,"Central African Republic",140,"1985-1990",6.088
2,"Sri Lanka",144,"1985-1990",2.681
2,"Chad",148,"1985-1990",7.11
2,"Chile",152,"1985-1990",2.59
2,"China",156,"1985-1990",2.635
2,"Taiwan Province of China",158,"1985-1990",1.783
2,"Colombia",170,"1985-1990",3.219
2,"Comoros",174,"1985-1990",6.803
2,"Congo",178,"1985-1990",5.481
2,"Democratic Republic of the Congo",180,"1985-1990",6.709
2,"Costa Rica",188,"1985-1990",3.395
2,"Croatia",191,"1985-1990",1.728
2,"Cuba",192,"1985-1990",1.801
2,"Cyprus",196,"1985-1990",2.425
2,"Czech Republic",203,"1985-1990",1.916
2,"Benin",204,"1985-1990",6.895
2,"Denmark",208,"1985-1990",1.52
2,"Dominican Republic",214,"1985-1990",3.558
2,"Ecuador",218,"1985-1990",4.01
2,"El Salvador",222,"1985-1990",4.174
2,"Equatorial Guinea",226,"1985-1990",5.97
2,"Ethiopia",231,"1985-1990",7.33
2,"Estonia",233,"1985-1990",2.213
2,"Angola",24,"1985-1990",7.399
2,"Fiji",242,"1985-1990",3.508
2,"Finland",246,"1985-1990",1.646
2,"France",250,"1985-1990",1.815
2,"French Guiana",254,"1985-1990",3.545
2,"French Polynesia",258,"1985-1990",3.687
2,"Gabon",266,"1985-1990",5.648
2,"Georgia",268,"1985-1990",2.282
2,"Gambia",270,"1985-1990",6.294
2,"Occupied Palestinian Territory",275,"1985-1990",6.878
2,"Germany",276,"1985-1990",1.428
2,"Ghana",288,"1985-1990",6.042
2,"Kiribati",296,"1985-1990",4.82
2,"Greece",300,"1985-1990",1.633
2,"Azerbaijan",31,"1985-1990",3.151
2,"Guadeloupe",312,"1985-1990",2.346
2,"Argentina",32,"1985-1990",3.059
2,"Guatemala",320,"1985-1990",5.642
2,"Guinea",324,"1985-1990",6.647
2,"Guyana",328,"1985-1990",3.204
2,"Haiti",332,"1985-1990",5.584
2,"Honduras",340,"1985-1990",5.602
2,"Hong Kong Special Administrative Region of China",344,"1985-1990",1.386
2,"Hungary",348,"1985-1990",1.826
2,"Iceland",352,"1985-1990",2.074
2,"India",356,"1985-1990",4.299
2,"Australia",36,"1985-1990",1.864
2,"Indonesia",360,"1985-1990",3.442
2,"Iran (Islamic Republic of)",364,"1985-1990",5.692
2,"Iraq",368,"1985-1990",6.097
2,"Ireland",372,"1985-1990",2.298
2,"Israel",376,"1985-1990",3.195
2,"Italy",380,"1985-1990",1.357
2,"Cote d'Ivoire",384,"1985-1990",7.067
2,"Jamaica",388,"1985-1990",3.149
2,"Japan",392,"1985-1990",1.667
2,"Kazakhstan",398,"1985-1990",3.006
2,"Afghanistan",4,"1985-1990",7.525
2,"Austria",40,"1985-1990",1.45
2,"Jordan",400,"1985-1990",6.111
2,"Kenya",404,"1985-1990",6.667
2,"Democratic People's Republic of Korea",408,"1985-1990",2.468
2,"Republic of Korea",410,"1985-1990",1.63
2,"Kuwait",414,"1985-1990",3.853
2,"Kyrgyzstan",417,"1985-1990",4.096
2,"Lao People's Democratic Republic",418,"1985-1990",6.264
2,"Lebanon",422,"1985-1990",3.462
2,"Lesotho",426,"1985-1990",5.152
2,"Latvia",428,"1985-1990",2.14
2,"Liberia",430,"1985-1990",6.569
2,"Bahamas",44,"1985-1990",2.541
2,"Lithuania",440,"1985-1990",2.067
2,"Luxembourg",442,"1985-1990",1.454
2,"Macao Special Administrative Region of China",446,"1985-1990",1.947
2,"Madagascar",450,"1985-1990",6.268
2,"Malawi",454,"1985-1990",7.118
2,"Malaysia",458,"1985-1990",3.596
2,"Maldives",462,"1985-1990",6.742
2,"Mali",466,"1985-1990",7.247
2,"Malta",470,"1985-1990",2
2,"Martinique",474,"1985-1990",2.11
2,"Bahrain",48,"1985-1990",4.09
2,"Mauritius",480,"1985-1990",2.069
2,"Mexico",484,"1985-1990",3.812
2,"Mongolia",496,"1985-1990",4.857
2,"Republic of Moldova",498,"1985-1990",2.655
2,"Montenegro",499,"1985-1990",2.01
2,"Bangladesh",50,"1985-1990",5.087
2,"Morocco",504,"1985-1990",4.542
2,"Mozambique",508,"1985-1990",6.332
2,"Armenia",51,"1985-1990",2.669
2,"Oman",512,"1985-1990",7.344
2,"Namibia",516,"1985-1990",5.669
2,"Nepal",524,"1985-1990",5.365
2,"Netherlands",528,"1985-1990",1.546
2,"Curaçao",531,"1985-1990",2.284
2,"Aruba",533,"1985-1990",2.304
2,"New Caledonia",540,"1985-1990",3.157
2,"Vanuatu",548,"1985-1990",5.236
2,"Central Asia",5500,"1985-1990",4.028
2,"Southern Asia",5501,"1985-1990",4.64
2,"New Zealand",554,"1985-1990",2.029
2,"Nicaragua",558,"1985-1990",5.068
2,"Belgium",56,"1985-1990",1.549
2,"Niger",562,"1985-1990",7.873
2,"Nigeria",566,"1985-1990",6.534
2,"Norway",578,"1985-1990",1.774
2,"Micronesia (Federated States of)",583,"1985-1990",5.313
2,"Pakistan",586,"1985-1990",6.512
2,"Panama",591,"1985-1990",3.28
2,"Paraguay",600,"1985-1990",4.812
2,"Peru",604,"1985-1990",4.245
2,"Philippines",608,"1985-1990",4.516
2,"Poland",616,"1985-1990",2.182
2,"Portugal",620,"1985-1990",1.638
2,"Guinea-Bissau",624,"1985-1990",6.71
2,"Timor-Leste",626,"1985-1990",5.696
2,"Puerto Rico",630,"1985-1990",2.345
2,"Qatar",634,"1985-1990",4.549
2,"Reunion",638,"1985-1990",2.569
2,"Bhutan",64,"1985-1990",5.983
2,"Romania",642,"1985-1990",2.305
2,"Russian Federation",643,"1985-1990",2.128
2,"Rwanda",646,"1985-1990",7.392
2,"Saint Lucia",662,"1985-1990",3.687
2,"Saint Vincent and the Grenadines",670,"1985-1990",2.96
2,"Sao Tome and Principe",678,"1985-1990",5.992
2,"Bolivia (Plurinational State of)",68,"1985-1990",5.081
2,"Saudi Arabia",682,"1985-1990",6.356
2,"Senegal",686,"1985-1990",6.751
2,"Serbia",688,"1985-1990",1.812
2,"Sierra Leone",694,"1985-1990",6.592
2,"Bosnia and Herzegovina",70,"1985-1990",1.912
2,"Singapore",702,"1985-1990",1.551
2,"Slovakia",703,"1985-1990",2.157
2,"Viet Nam",704,"1985-1990",3.951
2,"Slovenia",705,"1985-1990",1.638
2,"Somalia",706,"1985-1990",7.374
2,"South Africa",710,"1985-1990",4.284
2,"Zimbabwe",716,"1985-1990",5.493
2,"Botswana",72,"1985-1990",5.052
2,"Spain",724,"1985-1990",1.506
2,"South Sudan",728,"1985-1990",7.926
2,"Sudan",729,"1985-1990",6.356
2,"Suriname",740,"1985-1990",3.398
2,"Swaziland",748,"1985-1990",5.802
2,"Sweden",752,"1985-1990",1.872
2,"Switzerland",756,"1985-1990",1.539
2,"Brazil",76,"1985-1990",3.234
2,"Syrian Arab Republic",760,"1985-1990",6.09
2,"Tajikistan",762,"1985-1990",5.639
2,"Thailand",764,"1985-1990",2.313
2,"Togo",768,"1985-1990",6.38
2,"Tonga",776,"1985-1990",4.887
2,"Trinidad and Tobago",780,"1985-1990",2.817
2,"United Arab Emirates",784,"1985-1990",4.898
2,"Tunisia",788,"1985-1990",4.082
2,"Turkey",792,"1985-1990",3.51
2,"Turkmenistan",795,"1985-1990",4.723
2,"Albania",8,"1985-1990",3.065
2,"Uganda",800,"1985-1990",7.082
2,"Ukraine",804,"1985-1990",2.046
2,"The former Yugoslav Republic of Macedonia",807,"1985-1990",2.262
2,"Egypt",818,"1985-1990",4.955
2,"United Kingdom of Great Britain and Northern Ireland",826,"1985-1990",1.799
2,"United Republic of Tanzania",834,"1985-1990",6.42
2,"Belize",84,"1985-1990",4.862
2,"United States of America",840,"1985-1990",1.894
2,"Burkina Faso",854,"1985-1990",7.157
2,"Uruguay",858,"1985-1990",2.478
2,"Venezuela (Bolivarian Republic of)",862,"1985-1990",3.662
2,"Samoa",882,"1985-1990",5.18
2,"Yemen",887,"1985-1990",8.811
2,"Zambia",894,"1985-1990",6.765
2,"Solomon Islands",90,"1985-1990",5.996
2,"World",900,"1985-1990",3.447
2,"Africa",903,"1985-1990",6.186
2,"Latin America and the Caribbean",904,"1985-1990",3.502
2,"Northern America",905,"1985-1990",1.874
2,"Eastern Asia",906,"1985-1990",2.52
2,"Europe",908,"1985-1990",1.818
2,"Oceania",909,"1985-1990",2.522
2,"Eastern Africa",910,"1985-1990",6.816
2,"Middle Africa",911,"1985-1990",6.75
2,"Northern Africa",912,"1985-1990",5.104
2,"Southern Africa",913,"1985-1990",4.392
2,"Western Africa",914,"1985-1990",6.66
2,"Caribbean",915,"1985-1990",3.067
2,"Central America",916,"1985-1990",4.053
2,"South-Eastern Asia",920,"1985-1990",3.623
2,"Western Asia",922,"1985-1990",4.624
2,"Eastern Europe",923,"1985-1990",2.122
2,"Northern Europe",924,"1985-1990",1.824
2,"Southern Europe",925,"1985-1990",1.581
2,"Western Europe",926,"1985-1990",1.575
2,"Australia and New Zealand",927,"1985-1990",1.893
2,"Melanesia",928,"1985-1990",4.995
2,"South America",931,"1985-1990",3.357
2,"Asia",935,"1985-1990",3.499
2,"Micronesia",954,"1985-1990",4.052
2,"Polynesia",957,"1985-1990",4.38
2,"Bulgaria",100,"1990-1995",1.565
2,"Myanmar",104,"1990-1995",3.366
2,"Burundi",108,"1990-1995",7.301
2,"Belarus",112,"1990-1995",1.731
2,"Cambodia",116,"1990-1995",5.396
2,"Algeria",12,"1990-1995",4.221
2,"Cameroon",120,"1990-1995",6.261
2,"Canada",124,"1990-1995",1.73
2,"Cape Verde",132,"1990-1995",5.079
2,"Central African Republic",140,"1990-1995",5.985
2,"Sri Lanka",144,"1990-1995",2.45
2,"Chad",148,"1990-1995",7.285
2,"Chile",152,"1990-1995",2.484
2,"China",156,"1990-1995",1.909
2,"Taiwan Province of China",158,"1990-1995",1.761
2,"Colombia",170,"1990-1995",3.005
2,"Comoros",174,"1990-1995",6.202
2,"Congo",178,"1990-1995",5.108
2,"Democratic Republic of the Congo",180,"1990-1995",6.673
2,"Costa Rica",188,"1990-1995",3.042
2,"Croatia",191,"1990-1995",1.536
2,"Cuba",192,"1990-1995",1.595
2,"Cyprus",196,"1990-1995",2.323
2,"Czech Republic",203,"1990-1995",1.713
2,"Benin",204,"1990-1995",6.583
2,"Denmark",208,"1990-1995",1.734
2,"Dominican Republic",214,"1990-1995",3.287
2,"Ecuador",218,"1990-1995",3.597
2,"El Salvador",222,"1990-1995",3.805
2,"Equatorial Guinea",226,"1990-1995",5.983
2,"Ethiopia",231,"1990-1995",7.161
2,"Estonia",233,"1990-1995",1.693
2,"Angola",24,"1990-1995",7.135
2,"Fiji",242,"1990-1995",3.347
2,"Finland",246,"1990-1995",1.816
2,"France",250,"1990-1995",1.722
2,"French Guiana",254,"1990-1995",3.828
2,"French Polynesia",258,"1990-1995",3.175
2,"Gabon",266,"1990-1995",5.27
2,"Georgia",268,"1990-1995",2.126
2,"Gambia",270,"1990-1995",6.115
2,"Occupied Palestinian Territory",275,"1990-1995",6.594
2,"Germany",276,"1990-1995",1.324
2,"Ghana",288,"1990-1995",5.463
2,"Kiribati",296,"1990-1995",4.527
2,"Greece",300,"1990-1995",1.45
2,"Azerbaijan",31,"1990-1995",2.862
2,"Guadeloupe",312,"1990-1995",2.172
2,"Argentina",32,"1990-1995",2.987
2,"Guatemala",320,"1990-1995",5.323
2,"Guinea",324,"1990-1995",6.535
2,"Guyana",328,"1990-1995",3.069
2,"Haiti",332,"1990-1995",5.22
2,"Honduras",340,"1990-1995",5.089
2,"Hong Kong Special Administrative Region of China",344,"1990-1995",1.332
2,"Hungary",348,"1990-1995",1.762
2,"Iceland",352,"1990-1995",2.212
2,"India",356,"1990-1995",3.881
2,"Australia",36,"1990-1995",1.874
2,"Indonesia",360,"1990-1995",2.963
2,"Iran (Islamic Republic of)",364,"1990-1995",4.081
2,"Iraq",368,"1990-1995",5.717
2,"Ireland",372,"1990-1995",1.984
2,"Israel",376,"1990-1995",3.008
2,"Italy",380,"1990-1995",1.28
2,"Cote d'Ivoire",384,"1990-1995",6.452
2,"Jamaica",388,"1990-1995",2.923
2,"Japan",392,"1990-1995",1.501
2,"Kazakhstan",398,"1990-1995",2.599
2,"Afghanistan",4,"1990-1995",7.654
2,"Austria",40,"1990-1995",1.49
2,"Jordan",400,"1990-1995",5.126
2,"Kenya",404,"1990-1995",5.766
2,"Democratic People's Republic of Korea",408,"1990-1995",2.287
2,"Republic of Korea",410,"1990-1995",1.659
2,"Kuwait",414,"1990-1995",3.11
2,"Kyrgyzstan",417,"1990-1995",3.575
2,"Lao People's Democratic Republic",418,"1990-1995",5.852
2,"Lebanon",422,"1990-1995",3.081
2,"Lesotho",426,"1990-1995",4.502
2,"Latvia",428,"1990-1995",1.704
2,"Liberia",430,"1990-1995",6.285
2,"Bahamas",44,"1990-1995",2.627
2,"Lithuania",440,"1990-1995",1.863
2,"Luxembourg",442,"1990-1995",1.658
2,"Macao Special Administrative Region of China",446,"1990-1995",1.569
2,"Madagascar",450,"1990-1995",6.079
2,"Malawi",454,"1990-1995",6.653
2,"Malaysia",458,"1990-1995",3.371
2,"Maldives",462,"1990-1995",5.39
2,"Mali",466,"1990-1995",7.17
2,"Malta",470,"1990-1995",1.98
2,"Martinique",474,"1990-1995",2.05
2,"Bahrain",48,"1990-1995",3.51
2,"Mauritius",480,"1990-1995",2.298
2,"Mexico",484,"1990-1995",3.291
2,"Mongolia",496,"1990-1995",3.554
2,"Republic of Moldova",498,"1990-1995",2.196
2,"Montenegro",499,"1990-1995",1.974
2,"Bangladesh",50,"1990-1995",4.074
2,"Morocco",504,"1990-1995",3.768
2,"Mozambique",508,"1990-1995",6.093
2,"Armenia",51,"1990-1995",2.47
2,"Oman",512,"1990-1995",6.045
2,"Namibia",516,"1990-1995",5.035
2,"Nepal",524,"1990-1995",5.06
2,"Netherlands",528,"1990-1995",1.593
2,"Curaçao",531,"1990-1995",2.27
2,"Aruba",533,"1990-1995",2.249
2,"New Caledonia",540,"1990-1995",2.965
2,"Vanuatu",548,"1990-1995",4.938
2,"Central Asia",5500,"1990-1995",3.592
2,"Southern Asia",5501,"1990-1995",4.145
2,"New Zealand",554,"1990-1995",2.07
2,"Nicaragua",558,"1990-1995",4.267
2,"Belgium",56,"1990-1995",1.619
