country,pri_2015,low_2015,upp_2015,col_2015,pri_1960,low_1960,upp_1960,col_1960,pri_1975,low_1975,pri_1990,low_1990,pri_2005,low_2005,edu_score_2015,edu_score_1960,ladder_score_2015,ladder_score_1960,gain_1960_2015,year_crossed_60pct_primary,gender_gap_primary_2015,gender_gap_lowsec_2015,sequential_gap_2015,peak_decade,peak_decade_gain,archetype,trajectory,world_rank_2015,world_rank_gain,world_rank_ladder,world_rank_speed,world_rank_gender
pakistan,51.0,36.7,32.4,9.1,9.5,0.9,4.2,0.0,16.9,3.8,24.8,11.3,38.5,26.9,32.3,3.7,27.7,2.8,28.7,,-6.7,-3.9,14.3,2000–2010,8.4,Primary Building,Strong Progress,125,101,124,150,164
comoros,48.5,28.3,33.0,16.9,3.5,0.1,1.9,0.0,15.5,1.6,26.7,6.0,43.2,12.2,31.7,1.4,28.5,1.1,30.3,,1.0,1.4,20.2,1990–2000,5.7,Primary Building,Strong Progress,126,98,123,150,54
zambia,52.6,28.7,29.3,13.4,19.2,6.3,10.6,2.8,30.9,14.4,36.3,19.0,43.8,21.6,31.0,9.7,26.8,8.1,21.3,,-4.3,-2.8,23.9,1960–1970,5.5,Primary Building,Moderate Progress,127,129,128,150,156
myanmar,53.9,31.0,23.3,15.2,13.7,0.8,3.0,0.2,24.4,3.6,33.8,9.6,44.2,18.2,30.9,4.4,26.4,3.1,26.4,,-2.3,0.1,22.9,2000–2010,7.5,Primary Building,Strong Progress,128,111,129,150,137
haiti,53.8,33.3,32.0,2.1,6.3,0.2,3.3,0.0,10.4,0.8,21.5,4.5,40.0,18.3,30.3,2.4,24.7,1.9,27.8,,-1.7,0.3,20.5,1990–2000,8.3,Primary Building,Strong Progress,129,107,133,150,130
iraq,45.1,28.1,29.2,18.6,12.2,1.8,4.4,0.2,25.7,10.1,38.6,22.9,34.6,22.3,30.2,4.7,27.4,3.5,25.6,,-2.0,-0.4,17.0,1970–1980,8.6,Primary Building,Strong Progress,130,114,125,150,135
cameroon,52.0,29.8,26.0,12.4,5.8,0.8,1.2,0.0,15.7,2.6,28.1,9.2,36.9,21.7,30.1,1.9,25.7,1.3,28.1,,-3.8,-4.4,22.2,2000–2010,8.2,Primary Building,Strong Progress,131,104,130,150,150
papua new guinea,52.7,30.6,27.7,8.1,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,29.8,75.0,24.9,64.3,-45.2,1960.0,-3.4,-2.9,22.1,1960–1970,0.0,Primary Building,Early Achiever,132,171,131,23,148
solomon islands,52.7,30.6,27.6,8.0,3.7,0.8,2.2,0.2,11.8,3.4,25.3,10.3,40.5,23.9,29.7,1.7,24.8,1.4,28.0,,-3.4,-2.9,22.1,2000–2010,8.1,Primary Building,Strong Progress,133,105,132,150,148
bangladesh,54.6,29.3,26.2,6.7,11.4,1.1,5.1,0.0,17.0,2.5,23.8,6.1,39.8,16.7,29.2,4.4,24.0,3.3,24.8,,3.4,-2.0,25.3,2000–2010,8.1,Primary Building,Strong Progress,134,117,134,150,15
guatemala,45.0,28.4,28.0,9.1,10.1,0.8,5.2,0.1,17.4,3.0,24.8,8.3,32.5,17.4,27.6,4.0,23.8,3.1,23.6,,-0.7,0.5,16.6,2000–2010,8.5,Primary Building,Strong Progress,135,121,135,150,118
gabon,48.9,20.6,25.4,12.0,7.0,1.0,2.5,0.1,31.9,5.0,39.6,9.4,46.5,8.7,26.7,2.6,22.9,2.0,24.1,,-0.9,-1.0,28.3,1970–1980,7.2,Primary Building,Strong Progress,136,120,136,150,121
vanuatu,49.7,26.1,23.7,4.8,9.1,0.8,4.1,0.1,18.5,4.1,27.4,10.5,38.1,18.4,26.1,3.5,21.2,2.7,22.6,,0.3,-0.4,23.6,2000–2010,4.0,Primary Building,Strong Progress,137,125,139,150,78
gambia,46.8,25.8,25.4,6.0,3.2,0.0,1.7,0.0,8.1,0.4,17.1,2.8,31.1,11.7,26.0,1.2,21.6,0.9,24.8,,-5.5,-3.7,21.0,2000–2010,9.0,Primary Building,Strong Progress,138,118,138,150,158
maldives,57.2,18.7,17.1,10.7,3.0,0.0,0.9,0.0,4.5,0.2,13.5,1.3,54.4,9.0,25.9,1.0,20.9,0.7,24.9,,1.0,-0.1,38.5,1990–2000,10.2,Primary Building,Strong Progress,139,115,140,150,54
equatorial guinea,52.7,20.7,20.8,7.0,5.8,0.2,1.3,0.0,21.0,1.9,27.6,5.0,35.3,10.0,25.3,1.8,20.4,1.2,23.5,,-13.2,-12.1,32.0,2000–2010,10.1,Primary Building,Strong Progress,140,122,142,150,174
lesotho,39.8,24.1,25.3,10.6,6.1,0.4,3.2,0.0,11.7,1.9,21.7,10.2,30.7,15.6,24.9,2.4,21.9,1.9,22.5,,6.8,3.5,15.7,2000–2010,6.3,Low Access,Strong Progress,141,126,137,150,2
bhutan,48.2,21.6,18.7,10.9,1.8,0.0,0.4,0.0,8.0,0.2,18.4,2.6,39.1,15.8,24.9,0.6,20.8,0.4,24.3,,-3.8,-3.1,26.6,2000–2010,9.9,Primary Building,Strong Progress,142,119,141,150,151
cape verde,52.7,18.7,16.6,6.9,5.8,0.2,2.2,0.0,12.7,1.5,16.1,4.0,51.5,13.2,23.7,2.1,18.7,1.5,21.7,,0.7,-1.7,34.0,2000–2010,9.0,Primary Building,Moderate Progress,143,127,145,150,63
yemen,33.6,33.6,23.3,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,7.6,7.6,22.9,0.0,19.0,0.0,22.9,,-20.3,-20.3,0.0,2000–2010,8.0,Low Access,Strong Progress,144,124,143,150,175
honduras,38.8,23.2,21.5,6.0,6.1,0.3,3.3,0.0,12.3,1.7,21.5,7.4,27.8,15.6,22.4,2.4,18.8,1.9,20.0,,3.6,2.7,15.6,2000–2010,4.9,Low Access,Moderate Progress,145,134,144,150,9
malawi,48.6,19.7,18.5,1.9,8.3,0.2,1.2,0.0,19.0,1.6,27.1,4.4,40.1,11.3,22.2,2.4,17.1,1.6,19.8,,-5.9,-4.0,28.9,2000–2010,5.8,Primary Building,Moderate Progress,146,135,147,150,161
guinea,34.2,19.0,21.6,9.0,3.3,0.0,1.6,0.0,12.4,1.5,11.7,3.6,31.5,10.7,20.9,1.2,18.3,0.9,19.7,,-8.8,-5.2,15.2,2000–2010,7.1,Low Access,Moderate Progress,147,136,146,150,169
liberia,37.8,20.6,23.1,1.9,6.7,0.2,3.1,0.0,18.8,3.1,29.8,11.0,30.9,15.3,20.8,2.5,17.1,1.9,18.3,,-7.3,-4.7,17.2,1970–1980,5.5,Low Access,Moderate Progress,148,138,148,150,166
cambodia,43.3,19.3,16.1,4.0,4.4,0.4,1.2,0.0,9.6,0.8,12.2,2.5,29.8,10.9,20.7,1.5,16.3,1.1,19.2,,-5.2,-3.6,24.0,1990–2000,8.3,Low Access,Moderate Progress,149,137,150,150,157
djibouti,31.7,20.5,18.4,6.1,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,19.2,75.0,16.4,64.3,-55.8,1960.0,-2.6,-1.9,11.2,1960–1970,0.0,Low Access,Early Achiever,150,172,149,23,141
eritrea,31.6,20.4,18.4,6.1,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,19.1,75.0,16.3,64.3,-55.9,1960.0,-2.5,-1.8,11.2,1960–1970,0.0,Low Access,Early Achiever,151,173,151,23,139
togo,30.6,19.6,17.0,7.4,3.7,0.1,1.1,0.0,8.1,1.2,15.9,6.4,20.5,11.1,18.6,1.2,16.1,0.9,17.4,,-9.9,-7.7,11.0,2000–2010,5.2,Low Access,Moderate Progress,152,140,152,150,173
sierra leone,32.3,17.7,16.2,4.3,6.2,0.3,3.2,0.0,13.2,2.1,16.8,6.7,22.0,10.0,17.6,2.4,14.6,1.9,15.2,,-6.2,-3.3,14.6,2000–2010,4.5,Low Access,Moderate Progress,153,145,155,150,162
cote d'ivoire,30.0,15.1,16.0,7.5,3.7,0.3,1.0,0.0,10.8,1.1,16.3,3.6,23.1,7.0,17.1,1.2,14.8,0.9,15.9,,-5.6,-3.8,14.9,2000–2010,4.2,Low Access,Moderate Progress,154,143,154,150,159
central african republic,40.4,12.9,11.7,3.0,1.1,0.1,0.2,0.0,5.2,0.7,10.7,1.5,24.4,7.0,17.0,0.3,13.0,0.2,16.7,,-8.9,-5.4,27.5,2000–2010,6.8,Low Access,Moderate Progress,155,141,160,150,171
south sudan,22.3,22.3,20.0,3.3,0.2,0.2,2.5,0.0,0.8,0.8,2.5,2.5,10.8,10.8,17.0,0.7,14.9,0.8,16.2,,-5.9,-5.9,0.0,2000–2010,6.2,Low Access,Moderate Progress,156,142,153,150,160
western sahara,28.4,15.9,15.0,5.1,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,16.1,75.0,13.6,64.3,-58.9,1960.0,-3.2,-2.6,12.5,1960–1970,0.0,Low Access,Early Achiever,157,174,156,23,145
mauritania,28.4,15.9,14.9,5.1,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,16.1,75.0,13.5,64.3,-58.9,1960.0,-3.2,-2.6,12.5,1960–1970,0.0,Low Access,Early Achiever,158,175,157,23,145
senegal,28.3,15.9,14.8,5.0,5.3,0.6,1.9,0.0,12.1,2.4,12.6,4.8,17.9,8.7,16.0,1.9,13.5,1.4,14.1,,-3.1,-2.6,12.4,2000–2010,6.1,Low Access,Moderate Progress,159,148,158,150,144
guinea-bissau,28.5,13.9,17.9,1.0,1.1,0.1,0.4,0.0,5.9,0.3,14.8,3.4,24.4,11.2,15.3,0.4,12.5,0.3,14.9,,-6.3,-3.3,14.6,2000–2010,4.9,Low Access,Moderate Progress,160,146,161,150,163
benin,28.3,13.6,13.8,4.2,3.4,0.1,1.3,0.0,8.9,0.8,11.1,2.8,22.6,6.4,15.0,1.2,12.4,0.9,13.8,,-8.3,-4.6,14.7,2000–2010,7.2,Low Access,Moderate Progress,161,149,162,150,168
afghanistan,18.4,18.4,17.7,4.5,0.1,0.1,1.3,0.0,0.9,0.9,2.9,2.9,8.0,8.0,14.8,0.4,13.2,0.4,14.4,,-6.8,-6.8,0.0,2000–2010,6.2,Low Access,Moderate Progress,162,147,159,150,165
uganda,27.8,13.5,12.1,4.8,8.2,0.5,0.9,0.1,11.2,1.5,14.1,3.3,16.7,6.7,14.5,2.4,12.0,1.6,12.1,,-1.4,-1.5,14.3,2000–2010,6.0,Low Access,Moderate Progress,163,153,163,150,123
sao tome and principe,30.6,11.9,9.8,1.3,0.8,0.1,0.0,0.0,7.8,0.2,16.8,2.1,17.3,6.1,13.4,0.2,10.2,0.1,13.2,,-1.7,-2.0,18.7,2000–2010,3.6,Low Access,Moderate Progress,164,150,166,150,129
somalia,26.7,12.7,11.0,2.7,5.0,0.2,2.3,0.0,9.1,1.7,19.3,6.1,14.5,5.6,13.3,1.9,10.6,1.4,11.4,,-4.3,-4.0,14.0,2000–2010,3.5,Low Access,Moderate Progress,165,154,164,150,154
mozambique,29.6,11.3,10.5,0.9,1.9,0.1,0.5,0.0,6.6,0.2,10.4,1.5,20.8,4.9,13.1,0.6,10.0,0.4,12.4,,-3.3,-1.6,18.3,2000–2010,3.9,Low Access,Moderate Progress,166,151,167,150,147
rwanda,22.5,12.7,12.0,3.5,1.5,0.0,0.5,0.0,2.7,0.2,7.1,0.8,15.8,5.3,12.7,0.5,10.6,0.4,12.2,,0.2,0.0,9.8,2000–2010,4.5,Low Access,Moderate Progress,167,152,165,150,82
ethiopia,19.5,12.4,11.9,2.4,1.1,0.0,0.7,0.0,3.5,0.1,7.2,1.3,8.5,3.8,11.6,0.4,9.7,0.4,11.1,,-1.4,-1.0,7.1,2000–2010,3.0,Low Access,Moderate Progress,168,155,168,150,126
angola,29.2,6.1,8.7,0.4,2.1,0.0,0.7,0.0,5.2,0.2,11.9,0.9,13.8,1.8,11.1,0.7,8.1,0.5,10.4,,-7.7,-2.0,23.1,2000–2010,1.9,Low Access,Moderate Progress,169,156,170,150,167
burkina faso,20.5,8.3,8.1,2.1,1.3,0.0,0.3,0.0,4.4,0.1,9.0,1.0,7.4,1.5,9.7,0.4,7.8,0.3,9.3,,-2.9,-2.5,12.2,2000–2010,2.0,Low Access,Minimal Progress,170,158,172,150,143
mali,17.5,9.5,8.2,3.7,1.6,0.0,0.7,0.0,5.3,0.4,6.7,1.8,11.4,4.3,9.7,0.6,8.2,0.4,9.2,,-4.3,-2.7,8.0,2000–2010,4.6,Low Access,Minimal Progress,171,159,169,150,154
chad,19.6,7.9,8.3,2.9,0.5,-0.1,0.1,0.0,3.7,0.6,6.6,0.6,12.1,2.8,9.7,0.1,7.9,0.1,9.5,,-8.9,-3.7,11.7,2000–2010,3.2,Low Access,Minimal Progress,172,157,171,150,170
madagascar,19.2,8.5,7.5,2.7,4.6,0.3,1.3,0.0,11.4,2.2,19.7,5.5,11.8,5.1,9.5,1.5,7.7,1.1,7.9,,-0.8,0.1,10.7,1980–1990,3.2,Low Access,Minimal Progress,173,160,173,150,119
burundi,16.0,7.0,7.6,2.8,1.9,0.1,0.4,0.0,2.3,0.1,4.8,0.2,11.4,2.9,8.3,0.6,7.0,0.4,7.7,,-2.8,-1.4,9.0,2000–2010,2.2,Low Access,Minimal Progress,174,161,174,150,142
niger,8.6,2.9,2.9,1.4,0.4,0.1,0.2,0.0,2.5,0.2,3.8,0.7,5.7,0.8,4.0,0.2,3.2,0.1,3.8,,-2.4,-1.2,5.7,1970–1980,0.8,Low Access,Minimal Progress,175,162,175,150,138
