country,pri_2015,low_2015,upp_2015,col_2015,pri_1960,low_1960,upp_1960,col_1960,pri_1975,low_1975,pri_1990,low_1990,pri_2005,low_2005,edu_score_2015,edu_score_1960,ladder_score_2015,ladder_score_1960,gain_1960_2015,year_crossed_60pct_primary,gender_gap_primary_2015,gender_gap_lowsec_2015,sequential_gap_2015,peak_decade,peak_decade_gain,archetype,trajectory,world_rank_2015,world_rank_gain,world_rank_ladder,world_rank_speed,world_rank_gender
barbados,82.6,72.5,73.1,26.1,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,63.6,75.0,57.5,64.3,-11.4,1960.0,4.5,6.0,10.1,1960–1970,0.0,Secondary Transition,Early Achiever,65,167,64,23,4
reunion,87.5,70.2,70.7,25.6,16.8,2.4,7.7,0.4,37.2,13.2,58.2,33.2,82.9,58.2,63.5,6.8,56.9,5.3,56.7,1995.0,1.6,1.7,17.3,1990–2000,13.8,Near-Universal,Breakthrough,66,14,68,96,43
seychelles,87.5,70.2,70.5,25.3,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,63.4,75.0,56.7,64.3,-11.6,1960.0,1.6,1.7,17.3,1960–1970,0.0,Near-Universal,Early Achiever,67,168,69,23,43
grenada,82.3,72.2,72.8,25.9,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,63.3,75.0,57.3,64.3,-11.7,1960.0,4.8,6.3,10.1,1960–1970,0.0,Secondary Transition,Early Achiever,68,169,65,23,3
portugal,89.1,61.4,66.7,34.2,13.9,1.4,6.1,0.1,34.6,9.8,59.0,29.8,86.0,45.3,62.8,5.4,57.2,4.1,57.5,1995.0,2.2,5.4,27.7,1990–2000,14.4,Secondary Transition,Breakthrough,69,13,66,96,28
sri lanka,89.6,65.8,64.2,31.8,37.6,6.7,17.7,1.3,55.4,20.7,70.8,37.3,84.5,54.4,62.8,15.8,56.6,12.3,47.0,1985.0,1.6,3.6,23.8,1990–2000,10.4,Near-Universal,Breakthrough,69,38,70,83,41
guam,90.6,61.3,66.4,28.9,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,61.8,75.0,55.4,64.3,-13.2,1960.0,2.0,3.0,29.3,1960–1970,0.0,Secondary Transition,Early Achiever,71,170,72,23,32
fiji,90.6,61.3,66.3,28.9,22.0,8.3,8.6,2.0,51.0,16.7,72.7,31.8,83.6,40.9,61.8,10.2,55.3,8.1,51.5,1980.0,2.0,3.0,29.3,1990–2000,11.1,Secondary Transition,Breakthrough,72,24,73,73,32
thailand,85.0,65.7,66.9,29.5,10.8,1.6,2.9,0.0,24.0,6.4,44.8,25.4,78.9,53.6,61.8,3.8,55.9,2.7,58.0,2000.0,2.6,5.0,19.3,1990–2000,15.9,Near-Universal,Breakthrough,72,11,71,103,21
cuba,94.5,66.8,70.6,14.1,49.7,8.3,16.4,0.4,77.4,19.4,87.8,30.9,89.7,46.6,61.5,18.7,53.0,13.7,42.8,1965.0,0.9,4.5,27.7,1960–1970,11.4,Near-Universal,Breakthrough,74,52,75,51,56
turkey,92.8,58.8,62.5,31.8,11.1,2.8,5.4,0.2,28.7,10.1,58.4,31.8,74.0,44.9,61.5,4.9,55.1,3.8,56.6,1995.0,-2.6,0.1,34.0,1980–1990,12.9,Secondary Transition,Breakthrough,75,15,74,96,140
algeria,89.1,64.4,61.9,20.3,10.1,0.3,2.1,0.0,31.6,5.3,64.5,22.6,80.5,45.5,58.9,3.1,51.5,2.1,55.8,1990.0,-1.9,2.8,24.7,1980–1990,13.2,Secondary Transition,Breakthrough,76,17,78,91,132
albania,95.5,58.8,57.1,23.5,50.3,14.5,17.2,1.1,90.8,31.7,96.2,41.8,94.0,51.3,58.7,20.8,50.9,15.6,38.0,1965.0,0.0,1.6,36.7,1960–1970,14.8,Secondary Transition,Strong Progress,77,69,80,51,100
lebanon,86.7,57.0,58.6,32.5,24.8,2.5,6.4,0.2,51.3,12.7,70.8,28.6,77.5,40.8,58.7,8.5,52.9,6.0,50.2,1985.0,1.9,2.8,29.7,1980–1990,9.5,Secondary Transition,Breakthrough,78,29,76,83,36
united arab emirates,87.4,63.7,57.2,24.2,25.4,6.4,11.8,0.6,61.4,33.4,64.6,45.7,70.1,53.0,58.1,11.1,51.1,8.6,47.1,1975.0,2.4,16.2,23.7,1960–1970,21.8,Secondary Transition,Breakthrough,79,37,79,65,24
occupied palestinian territory,91.5,55.0,55.4,27.7,23.7,3.2,8.4,0.3,48.2,17.2,68.5,32.8,86.3,42.1,57.4,8.9,50.6,6.6,48.5,1985.0,1.9,5.2,36.5,1960–1970,10.7,Secondary Transition,Breakthrough,80,32,82,83,35
panama,77.8,61.4,61.6,27.1,26.9,7.2,17.1,0.6,48.0,19.7,61.4,37.4,70.5,50.7,57.0,13.0,51.5,10.5,44.0,1985.0,2.3,4.0,16.4,1970–1980,11.3,Primary Building,Breakthrough,81,48,77,83,26
guyana,90.1,60.6,63.6,13.5,49.2,10.9,19.6,0.6,68.2,20.6,76.8,31.8,84.5,45.2,56.9,20.1,48.9,15.2,36.9,1970.0,-1.8,4.1,29.5,2000–2010,9.0,Secondary Transition,Strong Progress,82,77,85,58,131
colombia,74.0,63.9,61.4,25.2,14.2,2.2,8.6,0.1,31.7,10.9,45.7,29.7,65.1,54.9,56.1,6.3,50.8,5.0,49.9,2000.0,2.7,3.0,10.1,1990–2000,12.4,Primary Building,Breakthrough,83,30,81,103,20
