country,pri_2015,low_2015,upp_2015,col_2015,pri_2025,low_2025,upp_2025,col_2025,pri_1960,low_1960,upp_1960,col_1960,pri_1975,low_1975,pri_1990,low_1990,pri_2005,low_2005,edu_score_2015,edu_score_1960,ladder_score_2015,ladder_score_1960,ladder_score_2025,gain_1960_2015,year_crossed_60pct_primary,gender_gap_primary_2015,gender_gap_lowsec_2015,sequential_gap_2015,peak_decade,peak_decade_gain,archetype,trajectory,world_rank_2015,world_rank_gain,world_rank_speed
Luxembourg,100.0,98.5,89.0,25.0,100.0,100.0,100.0,53.5,100.0,52.1,31.4,3.1,100.0,71.6,100.0,82.1,100.0,94.8,78.1,46.7,69.8,35.6,83.4,31.5,1960.0,0.0,0.0,1.5,1960–1970,8.9,Universal,Strong Progress,37,112,38
Occupied Palestinian Territory,98.7,95.2,75.1,37.6,100.0,100.0,100.0,62.7,12.9,6.7,3.9,1.1,62.3,42.5,85.0,64.5,96.0,86.6,76.7,6.1,69.4,4.8,86.7,70.5,1975.0,0.0,0.0,3.5,2010–2020,20.2,Universal,Large Gain,38,3,101
Latvia,99.1,97.8,86.3,24.4,100.0,100.0,100.0,51.1,99.0,93.7,59.2,6.5,99.8,99.5,99.7,99.5,99.5,98.8,76.9,64.6,68.5,53.5,82.5,12.3,1960.0,0.0,0.0,1.2,2010–2020,7.9,Universal,Moderate Progress,39,179,38
Puerto Rico,99.4,97.1,87.3,23.9,100.0,100.0,100.0,41.6,73.0,56.1,40.6,5.3,92.2,83.8,96.8,93.9,98.7,96.1,76.9,43.8,68.5,36.0,79.1,33.1,1960.0,0.0,0.0,2.2,1960–1970,14.2,Universal,Strong Progress,40,101,38
Bosnia and Herzegovina,99.1,98.6,93.1,18.2,100.0,100.0,100.0,37.1,59.6,30.5,15.4,2.0,93.0,68.5,99.0,95.3,99.2,97.9,77.3,26.9,68.4,20.2,77.5,50.4,1965.0,0.0,0.0,0.5,1960–1970,17.8,Universal,Large Gain,41,38,81
Lebanon,98.1,88.2,72.3,41.5,98.1,90.5,81.0,46.4,28.8,13.3,3.5,0.9,67.8,41.8,90.2,67.5,98.1,85.1,75.0,11.6,68.4,8.3,73.1,63.4,1975.0,0.0,0.0,9.8,1970–1980,14.2,Universal,Large Gain,42,7,101
Czech Republic,99.7,99.7,91.8,17.9,100.0,100.0,100.0,37.4,99.3,98.8,55.3,3.3,99.4,99.1,99.6,99.4,99.6,99.6,77.3,64.2,68.2,52.3,77.7,13.1,1960.0,0.0,0.0,0.0,2010–2020,5.2,Universal,Moderate Progress,43,175,38
Sri Lanka,96.3,93.3,72.9,38.0,98.1,96.5,80.5,42.3,47.4,31.6,17.5,3.6,69.8,53.1,80.9,70.0,92.8,87.2,75.1,25.0,68.1,19.8,72.8,50.1,1970.0,0.0,0.0,3.0,1960–1970,11.5,Universal,Large Gain,44,40,91
Croatia,99.5,99.5,96.1,14.2,100.0,100.0,100.0,29.8,87.7,54.8,24.7,2.2,98.6,91.2,99.4,98.7,99.5,99.4,77.3,42.4,68.1,32.1,74.9,35.0,1960.0,0.0,0.0,0.0,1960–1970,18.3,Universal,Strong Progress,45,94,38
Slovenia,99.9,99.6,91.8,17.3,100.0,100.0,100.0,37.0,99.5,83.1,27.3,1.6,99.7,95.6,99.8,99.1,99.8,99.5,77.1,52.9,68.0,40.4,77.5,24.3,1960.0,0.0,0.0,0.3,2000–2010,8.6,Universal,Strong Progress,46,138,38
Norway,99.9,99.9,76.5,29.1,100.0,100.0,100.0,63.5,99.5,99.2,53.2,7.4,99.4,99.0,99.6,99.0,99.8,99.5,76.3,64.9,67.9,53.3,87.0,11.5,1960.0,0.0,0.0,0.1,2000–2010,8.8,Universal,Moderate Progress,47,182,38
Romania,99.0,97.9,81.7,25.9,100.0,100.0,100.0,55.9,94.3,51.8,19.5,3.8,98.8,91.4,99.0,97.0,98.5,96.0,76.1,42.3,67.7,31.5,84.2,33.8,1960.0,0.0,0.0,1.0,1960–1970,14.3,Universal,Strong Progress,48,98,38
Ukraine,100.0,100.0,91.3,16.1,99.8,99.7,90.9,16.9,96.5,75.0,48.0,5.1,99.8,99.5,99.8,99.7,99.7,99.6,76.8,56.1,67.5,45.4,67.6,20.7,1960.0,0.0,0.0,0.0,1960–1970,14.6,Universal,Moderate Progress,49,151,38
