country,pri_2015,low_2015,upp_2015,col_2015,pri_2025,low_2025,upp_2025,col_2025,pri_1960,low_1960,upp_1960,col_1960,pri_1975,low_1975,pri_1990,low_1990,pri_2005,low_2005,edu_score_2015,edu_score_1960,ladder_score_2015,ladder_score_1960,ladder_score_2025,gain_1960_2015,year_crossed_60pct_primary,gender_gap_primary_2015,gender_gap_lowsec_2015,sequential_gap_2015,peak_decade,peak_decade_gain,archetype,trajectory,world_rank_2015,world_rank_gain,world_rank_speed
Guyana,95.4,90.2,65.6,11.3,96.1,92.0,71.5,12.5,69.7,40.0,15.2,2.6,88.5,67.7,95.3,79.5,97.0,90.1,65.6,31.9,55.7,23.8,58.3,33.8,1960.0,0.0,0.0,5.1,1960–1970,12.1,Secondary Building,Strong Progress,100,99,38
Mauritius,96.8,84.4,72.3,8.3,98.5,91.8,82.7,9.7,21.8,7.9,4.7,0.1,50.4,22.4,73.6,46.1,88.4,68.4,65.4,8.6,55.5,6.2,60.8,56.8,1980.0,0.0,0.0,12.4,2000–2010,14.3,Secondary Building,Large Gain,101,19,109
Qatar,88.7,81.8,59.7,22.9,91.1,86.6,67.8,26.3,23.0,18.8,12.3,3.4,47.9,37.1,75.5,64.2,83.4,73.5,63.3,14.4,55.4,12.0,60.3,48.9,1985.0,0.0,0.0,6.8,1980–1990,13.1,Secondary Building,Large Gain,102,46,116
Saudi Arabia,92.9,85.9,68.2,11.9,100.0,100.0,91.1,28.1,5.0,2.8,1.6,0.2,28.9,19.1,66.8,53.1,85.0,73.5,64.7,2.4,55.4,1.9,71.8,62.3,1990.0,0.0,0.0,6.9,2010–2020,19.9,Secondary Building,Large Gain,103,9,126
Samoa,99.5,96.4,49.4,15.8,99.5,96.9,57.1,17.8,95.2,15.0,4.3,2.8,97.4,39.8,98.6,69.4,98.7,84.3,65.3,29.3,54.7,19.0,57.6,36.0,1960.0,0.0,0.0,3.1,2000–2010,9.3,Secondary Building,Strong Progress,104,88,38
Iran (Islamic Republic of),93.0,82.4,58.3,19.2,94.4,88.9,68.2,22.9,10.0,4.7,2.3,0.5,32.1,19.6,63.7,40.7,87.6,70.1,63.2,4.4,54.5,3.3,60.2,58.9,1990.0,0.0,0.0,10.6,1990–2000,15.8,Secondary Building,Large Gain,105,16,126
Ecuador,90.0,75.0,56.6,25.1,92.6,84.1,64.5,28.4,36.1,15.1,8.5,2.7,58.5,33.4,78.4,52.8,86.1,64.4,61.7,15.6,54.1,11.8,59.8,46.1,1980.0,0.0,0.0,15.0,1970–1980,12.8,Secondary Building,Large Gain,106,53,109
Costa Rica,94.4,72.7,59.2,22.4,96.6,83.2,70.6,26.8,47.5,20.5,15.2,5.8,74.4,37.1,86.4,44.2,90.0,59.4,62.1,22.3,53.9,17.6,61.4,39.9,1970.0,0.0,0.0,21.7,1970–1980,10.9,Secondary Building,Strong Progress,107,74,91
Mexico,96.7,87.3,55.5,12.2,100.0,100.0,80.9,30.3,33.2,13.8,7.5,1.5,59.6,32.9,83.5,62.6,92.4,77.9,63.0,14.0,52.8,10.4,69.6,49.0,1980.0,0.0,0.0,9.4,2010–2020,15.3,Secondary Building,Large Gain,108,45,109
Brazil,94.7,83.4,60.8,8.7,100.0,98.3,77.8,17.6,41.1,19.4,9.7,1.4,61.1,38.7,77.5,55.2,90.0,73.8,61.9,17.9,51.9,13.3,63.9,44.0,1975.0,0.0,0.0,11.3,2010–2020,12.1,Secondary Building,Large Gain,109,57,101
Jordan,88.4,76.5,58.8,16.2,100.0,100.0,87.4,39.5,17.3,9.7,8.2,1.9,75.1,54.9,79.2,63.6,82.0,66.2,60.0,9.3,51.6,7.6,74.8,50.7,1965.0,0.0,0.0,11.9,1960–1970,36.2,Secondary Building,Large Gain,110,35,81
Kiribati,91.7,87.0,67.8,1.3,96.3,94.0,78.5,1.6,19.4,8.4,2.4,0.0,48.6,25.5,72.6,44.1,86.3,73.3,61.9,7.6,51.6,5.3,56.9,54.4,1985.0,0.0,0.0,4.7,2000–2010,13.9,Secondary Building,Large Gain,111,22,116
Melanesia,86.3,73.7,55.2,21.2,75.2,65.7,46.0,9.9,40.4,13.2,6.1,2.9,71.3,33.0,83.2,57.1,87.2,69.8,59.1,15.7,51.5,11.4,41.5,43.4,1970.0,0.0,0.0,12.6,1970–1980,10.4,Secondary Building,Large Gain,112,58,91
Aruba,98.7,84.0,54.5,10.4,98.1,87.1,65.6,13.0,54.1,21.4,7.9,1.7,78.4,51.6,90.4,71.1,96.7,79.3,61.9,21.3,51.4,15.2,56.1,40.6,1965.0,0.0,0.0,14.7,1960–1970,11.6,Secondary Building,Large Gain,113,69,81
South Africa,94.4,89.3,58.6,5.3,100.0,100.0,76.5,12.8,41.1,25.7,12.7,1.3,55.1,35.6,77.7,63.8,91.9,84.5,61.9,20.2,51.2,15.5,62.2,41.7,1980.0,0.0,0.0,5.0,1980–1990,12.1,Secondary Building,Large Gain,114,65,109
Micronesia,93.7,85.3,60.3,6.3,97.2,90.8,73.9,18.5,26.0,10.4,2.6,0.3,66.7,45.8,83.2,63.7,90.7,79.3,61.4,9.8,51.1,6.8,61.1,51.6,1975.0,0.0,0.0,8.4,1960–1970,15.7,Secondary Building,Large Gain,115,32,101
Micronesia (Federated States of),95.9,83.5,52.2,11.7,96.6,86.4,62.0,14.0,33.0,12.5,2.7,0.5,84.3,65.6,92.2,80.5,94.2,84.4,60.8,12.2,50.7,8.4,55.0,48.6,1970.0,0.0,0.0,12.3,1960–1970,23.3,Secondary Building,Large Gain,116,48,91
Curaçao,98.8,90.0,50.3,8.1,98.0,89.7,56.5,10.1,83.1,55.2,11.0,2.0,94.8,81.9,97.9,88.7,99.2,90.8,61.8,37.8,50.7,27.6,53.0,24.0,1960.0,0.0,0.0,8.8,1960–1970,8.3,Secondary Building,Strong Progress,117,140,38
Kuwait,97.4,89.9,48.7,9.4,96.7,92.2,57.4,11.6,24.5,18.9,9.9,1.1,67.2,59.0,66.5,60.6,83.3,77.2,61.4,13.6,50.5,10.8,54.1,47.8,1975.0,0.0,0.0,7.4,1970–1980,18.6,Secondary Building,Large Gain,118,49,101
Suriname,97.1,83.7,49.2,12.7,99.4,89.3,60.5,15.2,67.2,23.9,8.1,3.4,84.3,46.3,91.3,67.6,94.9,76.8,60.7,25.7,50.4,18.2,56.1,35.0,1960.0,0.0,0.0,13.4,1970–1980,8.7,Secondary Building,Strong Progress,119,93,38
Indonesia,95.8,77.0,58.4,9.6,100.0,92.3,79.1,19.8,31.4,6.2,3.1,0.2,62.5,19.5,83.4,41.1,94.0,64.8,60.2,10.3,50.3,6.8,63.7,50.0,1975.0,0.0,0.0,18.8,2010–2020,12.5,Secondary Building,Large Gain,120,41,101
Paraguay,86.8,65.9,53.8,22.1,90.2,75.1,64.3,26.3,33.3,12.9,8.7,2.9,51.4,22.7,69.2,35.6,82.1,54.5,57.1,14.4,49.8,11.0,56.7,42.7,1985.0,0.0,0.0,20.9,1990–2000,10.7,Secondary Building,Large Gain,121,61,116
Viet Nam,93.8,82.3,46.1,12.8,100.0,100.0,78.8,34.0,26.9,7.3,1.5,0.4,65.9,38.2,79.7,49.3,85.9,57.8,58.7,9.1,48.8,6.0,70.4,49.7,1975.0,0.0,0.0,11.6,2010–2020,22.4,Secondary Building,Large Gain,122,43,101
Belize,84.4,63.3,51.8,21.9,100.0,100.0,93.0,55.4,56.8,15.6,13.4,3.9,66.6,25.1,71.7,37.7,79.1,52.7,55.4,22.4,48.3,16.7,82.1,32.9,1965.0,0.0,0.0,21.0,2010–2020,31.0,Secondary Transition,Strong Progress,123,103,81
Maldives,97.8,91.7,33.2,12.0,100.0,100.0,70.8,41.1,1.9,0.2,0.0,0.0,18.5,3.0,60.4,12.2,95.5,68.1,58.7,0.5,47.4,0.3,70.6,58.1,1990.0,0.0,0.0,6.0,2000–2010,18.9,Secondary Building,Large Gain,124,17,126
Zimbabwe,86.8,71.7,60.2,4.8,85.8,73.8,65.1,5.2,26.9,21.4,12.7,1.5,43.9,29.0,78.3,61.1,87.2,69.8,55.9,15.6,46.7,12.6,48.5,40.2,1985.0,0.0,0.0,15.0,1980–1990,21.8,Secondary Building,Large Gain,125,72,116
Timor-Leste,73.6,68.0,55.5,13.8,84.6,80.9,71.3,17.9,1.6,1.6,0.8,0.2,5.1,4.6,26.1,22.6,56.8,50.4,52.7,1.0,45.9,0.9,56.2,51.7,2010.0,0.0,0.0,5.7,2000–2010,16.1,Primary Building,Large Gain,126,31,152
Uruguay,98.6,77.4,45.2,3.3,100.0,87.6,59.1,8.2,66.8,30.0,13.5,1.1,87.0,52.7,95.7,62.8,97.8,72.0,56.1,27.8,44.8,20.2,52.8,28.3,1960.0,0.0,0.0,21.2,1960–1970,9.0,Secondary Building,Strong Progress,127,120,38
India,77.1,63.8,49.3,15.9,88.1,79.5,66.4,21.8,13.9,6.7,4.2,1.2,25.9,15.2,39.0,25.8,60.6,46.1,51.5,6.5,44.5,5.0,56.4,45.0,2005.0,0.0,0.0,13.3,2010–2020,14.8,Primary Building,Large Gain,128,56,145
El Salvador,80.6,65.4,39.7,12.3,87.0,74.4,49.3,15.1,18.3,9.3,4.8,1.6,34.2,19.2,53.5,38.6,70.2,54.5,49.5,8.5,41.3,6.6,47.8,41.0,2000.0,0.0,0.0,15.2,1980–1990,8.8,Secondary Transition,Large Gain,129,67,139
French Guiana,83.4,60.3,40.6,9.3,85.7,67.4,48.5,11.3,61.0,36.3,19.4,3.8,74.1,50.6,80.1,58.4,82.5,57.9,48.4,30.1,39.8,23.4,44.6,18.3,1960.0,0.0,0.0,23.1,1970–1980,6.9,Secondary Transition,Moderate Progress,130,159,38
Nicaragua,75.1,55.1,42.1,14.6,81.8,66.8,53.0,18.4,19.6,6.5,4.4,1.2,36.3,18.6,55.1,33.6,66.8,42.3,46.7,7.9,39.8,5.9,47.7,38.8,2000.0,0.0,0.0,20.0,1970–1980,9.4,Primary Building,Strong Progress,131,81,139
Namibia,88.9,65.2,39.0,5.2,84.0,66.3,46.5,6.2,18.2,9.8,6.4,0.4,37.8,17.8,68.3,48.1,83.4,59.0,49.6,8.7,39.6,6.7,41.7,40.8,1990.0,0.0,0.0,23.7,1980–1990,15.0,Secondary Building,Large Gain,132,68,126
Nepal,75.0,61.4,49.6,2.2,86.6,77.6,66.8,3.0,2.1,1.1,0.6,0.0,6.6,3.8,20.1,13.0,53.2,39.2,47.0,1.0,38.8,0.7,49.1,46.1,2010.0,0.0,0.0,13.7,2000–2010,17.4,Primary Building,Large Gain,133,52,152
Bhutan,66.9,65.1,27.9,13.1,84.0,82.3,41.0,19.1,0.7,0.6,0.3,0.2,2.5,2.4,10.1,9.7,36.6,35.2,43.2,0.5,36.1,0.4,48.2,42.8,2015.0,0.0,0.0,1.8,2000–2010,20.7,Primary Building,Large Gain,134,60,160
Kenya,76.0,62.8,30.2,5.4,83.7,73.5,44.5,13.4,8.2,5.1,1.6,0.5,32.8,16.8,64.4,42.6,76.8,62.2,43.6,3.8,34.9,2.9,45.2,39.8,1990.0,0.0,0.0,13.2,1980–1990,12.0,Primary Building,Strong Progress,135,76,126
Morocco,67.4,49.2,32.3,14.7,83.2,71.9,55.0,25.2,2.8,1.1,0.5,0.1,18.0,8.3,32.0,20.5,49.9,34.2,40.9,1.1,34.7,0.8,52.0,39.8,2015.0,0.0,0.0,18.2,2010–2020,22.2,Primary Building,Strong Progress,136,75,160
Cape Verde,85.5,66.8,22.1,3.8,92.9,77.1,27.9,4.9,7.3,1.9,0.6,0.1,16.5,7.8,32.4,13.4,70.6,48.7,44.5,2.5,34.2,1.6,39.5,42.1,2005.0,0.0,0.0,18.7,2000–2010,17.0,Secondary Building,Large Gain,137,64,145
Lesotho,85.3,51.3,28.4,6.5,86.8,67.6,40.3,9.1,14.3,4.5,2.5,1.1,32.8,12.5,70.2,23.7,82.5,40.6,42.9,5.6,33.6,4.1,41.7,37.3,1990.0,0.0,0.0,34.0,2000–2010,10.4,Secondary Transition,Strong Progress,138,84,126
Nigeria,64.5,51.2,38.9,5.8,69.6,59.0,46.1,6.8,9.4,3.3,2.3,0.7,21.4,8.6,45.1,25.2,58.2,40.7,40.1,3.9,33.4,3.0,38.2,36.2,2010.0,0.0,0.0,13.2,2000–2010,9.6,Primary Building,Strong Progress,139,87,152
Comoros,73.3,52.5,29.3,8.5,86.3,66.8,40.2,11.3,1.1,0.5,0.3,0.1,5.5,3.2,30.3,16.7,56.3,35.4,40.9,0.5,33.1,0.4,42.1,40.4,2010.0,0.0,0.0,20.8,2000–2010,16.0,Primary Building,Large Gain,140,71,152
Myanmar,77.0,43.2,27.8,13.1,82.8,54.1,36.9,17.2,24.9,4.8,2.2,0.6,42.5,12.5,56.0,19.3,66.5,30.6,40.3,8.1,32.9,5.4,40.1,32.1,2000.0,0.0,0.0,33.9,2000–2010,10.0,Primary Building,Strong Progress,141,110,139
Ghana,72.6,59.8,26.3,3.0,81.4,69.8,35.9,4.1,16.0,11.9,2.8,0.8,45.0,36.8,47.8,38.4,62.5,52.1,40.4,7.9,31.8,5.9,38.3,32.6,2005.0,0.0,0.0,12.7,1960–1970,8.2,Primary Building,Strong Progress,142,107,145
Syrian Arab Republic,64.8,46.6,31.8,9.1,82.7,68.3,53.4,23.8,8.9,4.7,2.4,0.5,21.5,13.7,42.4,28.1,57.9,36.6,38.1,4.1,31.6,3.1,50.2,34.0,2010.0,0.0,0.0,18.2,2010–2020,17.7,Primary Building,Strong Progress,143,97,152
Cameroon,74.0,49.2,31.8,3.6,78.6,62.2,43.7,4.8,16.3,2.7,1.0,0.1,42.0,8.7,57.8,21.2,66.0,33.5,39.6,5.0,31.5,3.2,38.8,34.6,2000.0,0.0,0.0,24.8,2010–2020,8.1,Primary Building,Strong Progress,144,95,139
Bangladesh,78.6,54.5,26.0,2.5,89.3,72.5,40.5,3.8,10.3,2.8,0.8,0.1,19.3,7.2,32.0,15.5,59.3,36.0,40.4,3.5,31.2,2.3,41.2,36.9,2010.0,0.0,0.0,24.1,2010–2020,12.8,Primary Building,Strong Progress,145,85,152
Honduras,76.5,47.8,28.9,4.8,79.8,60.1,38.8,6.4,16.0,6.6,4.3,0.5,32.5,13.7,51.8,23.9,67.8,35.0,39.5,6.9,31.1,5.1,37.6,32.6,2000.0,0.0,0.0,28.7,2000–2010,9.9,Primary Building,Strong Progress,146,106,139
Solomon Islands,69.7,49.9,29.7,5.2,73.0,63.1,42.6,7.4,12.0,1.3,0.9,0.3,30.4,6.8,53.9,19.6,68.5,39.0,38.6,3.6,31.0,2.3,38.8,35.0,2000.0,0.0,0.0,19.8,2000–2010,8.3,Primary Building,Strong Progress,147,92,139
Guatemala,70.7,46.5,27.1,7.1,78.6,53.9,29.2,3.5,17.1,8.1,3.7,0.3,25.3,13.2,37.8,21.1,51.7,32.8,37.8,7.3,30.3,5.4,32.4,30.5,2010.0,0.0,0.0,24.2,2000–2010,8.6,Primary Building,Strong Progress,148,115,152
Iraq,60.8,42.1,30.4,11.0,69.1,58.7,45.4,16.2,7.2,2.9,2.1,0.7,24.4,11.4,58.2,29.6,60.6,32.6,36.1,3.2,30.3,2.5,41.2,32.9,1995.0,0.0,0.0,18.7,2010–2020,13.2,Primary Building,Strong Progress,149,104,133
Pakistan,51.5,41.3,32.9,12.4,62.2,52.8,43.7,11.9,7.4,4.3,2.6,0.9,14.8,9.5,26.1,17.7,41.5,31.2,34.5,3.8,30.0,3.0,36.9,30.7,2025.0,0.0,0.0,10.2,2010–2020,8.9,Primary Building,Strong Progress,150,114,181
Vanuatu,70.2,49.8,26.6,2.7,74.8,64.5,40.3,4.0,12.8,4.8,2.1,0.4,38.7,14.7,59.8,25.1,69.8,38.9,37.3,5.0,29.3,3.6,37.5,32.3,1995.0,0.0,0.0,20.4,2010–2020,7.8,Primary Building,Strong Progress,151,108,133
Lao People's Democratic Republic,77.4,36.6,23.0,8.7,83.5,55.9,40.9,15.0,11.5,1.2,0.7,0.2,27.8,4.7,55.4,16.0,66.3,23.4,36.4,3.4,28.6,2.2,40.9,33.0,2000.0,0.0,0.0,40.7,2010–2020,10.8,Primary Complete,Strong Progress,152,102,139
Swaziland,70.8,44.0,23.5,4.2,75.2,51.1,29.7,5.2,9.2,3.4,1.5,0.7,38.4,17.3,65.9,40.4,77.1,44.5,35.6,3.7,27.8,2.7,32.0,31.9,1990.0,0.0,0.0,26.8,1980–1990,10.6,Primary Building,Strong Progress,153,111,126
Gambia,60.1,48.1,25.6,3.8,70.7,59.7,33.8,5.2,0.8,0.5,0.2,0.0,6.1,4.6,18.6,11.9,40.7,30.2,34.4,0.4,27.6,0.3,34.4,34.0,2015.0,0.0,0.0,12.0,2000–2010,13.6,Primary Building,Strong Progress,154,96,160
Zambia,64.2,44.5,23.0,5.4,70.9,53.9,30.6,7.1,20.7,12.0,6.8,2.8,35.1,18.7,49.9,26.4,58.6,36.8,34.3,10.6,27.2,8.5,33.0,23.7,2010.0,0.0,0.0,19.7,2010–2020,6.1,Primary Building,Strong Progress,155,143,152
Gabon,86.8,46.0,13.5,2.8,87.1,51.5,17.8,3.7,4.6,1.1,0.4,0.1,34.5,11.8,70.5,26.3,81.3,40.1,37.3,1.5,27.1,1.0,29.9,35.7,1985.0,0.0,0.0,40.8,1970–1980,15.8,Secondary Transition,Strong Progress,156,90,116
Democratic Republic of the Congo,66.4,48.8,20.7,3.4,70.6,55.5,26.4,4.2,5.5,2.3,0.2,0.0,22.1,13.2,41.9,27.9,58.2,40.6,34.8,2.0,27.0,1.3,31.0,32.8,2015.0,0.0,0.0,17.6,2010–2020,7.9,Primary Building,Strong Progress,157,105,160
Sudan,38.6,37.2,30.5,8.3,45.4,44.5,39.3,10.6,3.0,2.6,1.6,0.4,8.8,7.6,26.2,21.9,36.1,33.6,28.6,1.9,25.2,1.6,31.0,26.8,,0.0,0.0,1.3,1980–1990,7.5,Low Access,Strong Progress,158,128,193
Congo,80.3,37.0,14.7,4.1,82.7,45.7,20.8,5.6,10.6,4.1,1.5,0.7,32.5,14.1,76.2,24.4,77.6,32.6,34.0,4.2,25.0,3.0,29.6,29.8,1985.0,0.0,0.0,43.3,1980–1990,8.3,Primary Complete,Strong Progress,159,116,116
Haiti,59.1,45.2,21.7,0.3,69.5,58.0,30.9,0.5,9.0,5.6,2.4,0.0,15.8,10.1,34.3,23.3,58.9,40.4,31.6,4.3,24.4,3.2,31.3,27.3,2020.0,0.0,0.0,13.9,1990–2000,11.3,Primary Building,Strong Progress,160,125,171
Sao Tome and Principe,73.0,40.0,14.8,0.0,86.4,58.0,23.6,0.1,2.6,1.5,0.5,0.0,11.5,4.6,32.1,10.8,50.2,16.3,32.0,1.1,23.2,0.8,31.5,30.8,2010.0,0.0,0.0,33.0,2010–2020,12.5,Primary Building,Strong Progress,161,113,152
Malawi,62.7,44.4,14.5,1.0,74.1,56.7,21.6,1.5,8.1,4.2,0.6,0.1,20.1,11.6,32.5,20.1,53.0,34.4,30.6,3.2,23.0,2.3,29.5,27.4,2015.0,0.0,0.0,18.3,2000–2010,7.4,Primary Building,Strong Progress,162,123,160
Cambodia,63.5,34.6,17.7,2.7,70.4,45.8,27.8,4.0,7.1,2.1,0.6,0.1,23.2,6.8,40.3,15.5,51.8,23.1,29.7,2.5,22.5,1.7,29.2,27.2,2015.0,0.0,0.0,28.9,1990–2000,8.3,Primary Building,Strong Progress,163,126,160
Sierra Leone,55.9,36.4,17.3,4.9,78.6,56.3,21.0,2.6,2.1,1.2,0.3,0.1,9.2,4.8,16.1,8.4,20.3,12.1,28.6,0.9,22.5,0.7,30.2,27.7,2020.0,0.0,0.0,19.6,2010–2020,17.3,Primary Building,Strong Progress,164,122,171
Uganda,57.6,29.4,16.0,7.1,75.8,50.1,32.8,20.0,7.4,1.6,1.0,0.6,15.2,4.1,25.7,8.7,43.0,18.9,27.5,2.6,21.6,1.9,38.1,24.9,2020.0,0.0,0.0,28.3,2010–2020,12.1,Primary Building,Strong Progress,165,134,171
Togo,61.6,27.4,16.9,3.1,72.3,38.4,25.4,4.8,4.3,1.4,0.9,0.1,13.0,4.1,23.3,7.1,39.8,13.7,27.2,1.7,20.6,1.2,27.5,25.6,2015.0,0.0,0.0,34.2,2010–2020,12.0,Primary Building,Strong Progress,166,132,160
United Republic of Tanzania,76.9,26.5,8.1,3.5,81.2,41.2,14.2,5.8,5.7,0.9,0.1,0.1,20.8,3.8,55.5,6.9,73.0,14.5,28.7,1.7,20.2,1.1,26.6,27.0,1995.0,0.0,0.0,50.3,1980–1990,6.7,Primary Complete,Strong Progress,167,127,133
Equatorial Guinea,78.6,27.0,5.4,1.0,84.1,38.1,9.6,1.8,6.2,1.6,0.1,0.0,38.2,7.5,52.5,13.3,63.1,15.8,28.0,2.0,18.9,1.3,23.6,26.0,2000.0,0.0,0.0,51.7,1970–1980,6.8,Primary Complete,Strong Progress,168,129,139
Benin,49.5,28.6,12.2,1.7,67.2,43.6,19.8,2.6,4.7,1.6,0.7,0.4,9.1,4.2,16.4,6.4,24.5,11.2,23.0,1.8,17.3,1.3,25.5,21.2,2020.0,0.0,0.0,20.9,2010–2020,15.1,Primary Building,Moderate Progress,169,147,171
Liberia,50.9,29.6,9.9,0.2,62.4,39.5,14.5,0.4,4.9,3.1,1.3,0.1,12.0,9.0,24.7,17.3,36.7,23.1,22.7,2.4,16.5,1.8,21.6,20.3,2025.0,0.0,0.0,21.3,2010–2020,8.2,Primary Building,Moderate Progress,170,153,181
Yemen,27.8,27.6,23.2,0.0,60.1,57.9,48.7,0.0,0.1,0.0,0.0,0.0,0.5,0.0,2.3,0.9,8.7,8.0,19.7,0.0,16.5,0.0,34.9,19.7,2025.0,0.0,0.0,0.2,2010–2020,25.6,Low Access,Moderate Progress,171,155,181
Madagascar,48.5,23.1,10.9,2.1,57.5,36.0,18.6,3.5,11.1,5.1,0.8,0.3,21.6,8.9,40.4,14.8,33.3,10.6,21.2,4.3,15.8,3.0,22.5,16.8,,0.0,0.0,25.4,2010–2020,8.8,Primary Building,Moderate Progress,172,165,193
Angola,55.8,26.1,4.0,0.0,75.6,43.4,7.2,0.1,3.4,1.2,0.2,0.0,5.9,2.4,20.4,6.5,32.5,14.2,21.5,1.2,14.7,0.8,22.2,20.3,2020.0,0.0,0.0,29.7,2010–2020,13.5,Primary Building,Moderate Progress,173,154,171
Cote d'Ivoire,37.6,23.5,11.8,2.0,47.1,33.8,18.1,3.1,1.5,0.6,0.1,0.0,10.2,3.3,25.9,8.4,29.7,14.9,18.7,0.5,14.5,0.4,20.2,18.2,,0.0,0.0,14.1,2010–2020,7.0,Low Access,Moderate Progress,174,160,193
Senegal,40.6,24.6,8.8,2.5,53.7,36.4,14.2,4.0,3.1,1.3,0.3,0.1,13.7,6.0,20.5,8.9,29.4,13.7,19.1,1.2,14.5,0.8,21.0,17.9,,0.0,0.0,16.0,2010–2020,6.8,Low Access,Moderate Progress,175,161,193
Rwanda,35.3,21.5,10.9,2.5,43.5,30.5,16.2,3.5,0.8,0.3,0.1,0.1,2.9,1.1,11.9,3.7,24.4,11.5,17.6,0.3,13.7,0.2,18.6,17.2,,0.0,0.0,13.8,2000–2010,6.7,Low Access,Moderate Progress,176,164,193
Mozambique,37.0,21.1,11.0,1.6,42.4,25.6,13.4,2.5,2.7,1.0,0.3,0.0,3.8,1.9,11.4,5.6,22.5,13.2,17.7,1.0,13.5,0.7,16.3,16.7,,0.0,0.0,15.9,2000–2010,5.6,Low Access,Moderate Progress,177,166,193
South Sudan,34.2,16.7,15.8,1.1,48.1,26.4,24.8,1.8,5.6,1.2,1.1,0.1,7.0,2.1,12.2,6.1,20.9,10.2,16.9,2.0,13.4,1.4,20.3,14.9,,0.0,0.0,17.6,2010–2020,7.5,Low Access,Moderate Progress,178,171,193
Guinea-Bissau,41.2,21.2,9.1,0.3,50.7,29.1,13.1,0.5,0.5,0.4,0.0,0.0,3.2,2.2,13.3,7.9,29.7,18.0,17.9,0.2,13.1,0.1,17.4,17.7,,0.0,0.0,20.0,2000–2010,6.5,Low Access,Moderate Progress,179,162,193
Guinea,31.2,19.9,9.6,3.6,44.1,30.9,15.6,5.8,1.1,0.6,0.3,0.1,6.1,3.6,8.7,4.2,16.0,9.0,16.1,0.5,12.8,0.4,19.4,15.6,,0.0,0.0,11.3,2000–2010,8.1,Low Access,Moderate Progress,180,170,193
Afghanistan,27.7,13.1,12.5,2.3,49.2,27.2,25.9,4.8,0.9,0.3,0.3,0.0,3.2,1.1,6.9,3.7,13.3,5.8,13.9,0.4,11.1,0.3,22.0,13.5,,0.0,0.0,14.6,2010–2020,13.3,Low Access,Moderate Progress,181,173,193
Mali,26.3,18.2,9.3,2.3,40.4,31.0,16.5,4.0,1.7,0.7,0.2,0.1,5.2,2.6,8.3,3.8,13.3,8.3,14.0,0.7,11.1,0.5,18.6,13.4,,0.0,0.0,8.1,2010–2020,8.1,Low Access,Moderate Progress,182,174,193
Ethiopia,27.8,14.6,7.8,1.1,44.5,27.0,15.0,2.1,1.0,0.2,0.1,0.0,2.6,1.0,7.0,3.6,19.5,8.9,12.8,0.3,9.7,0.2,17.2,12.5,,0.0,0.0,13.3,2010–2020,6.7,Low Access,Moderate Progress,183,178,193
Burundi,35.6,12.9,3.7,0.6,44.4,22.0,6.9,1.1,0.8,0.1,0.0,0.0,6.9,1.3,13.9,2.8,33.1,8.5,13.2,0.2,9.1,0.1,13.4,13.0,,0.0,0.0,22.6,1990–2000,5.4,Low Access,Moderate Progress,184,176,193
Central African Republic,29.3,11.8,4.8,1.9,31.3,15.9,5.0,1.4,2.8,1.1,0.1,0.1,7.9,2.8,14.3,4.6,19.4,7.7,11.9,1.0,8.8,0.7,9.8,10.9,,0.0,0.0,17.5,2010–2020,3.4,Low Access,Moderate Progress,185,186,193
Chad,29.0,12.9,5.0,0.8,42.3,21.9,9.1,1.4,1.1,0.4,0.1,0.0,2.8,1.1,4.8,1.8,15.6,6.8,11.9,0.4,8.6,0.3,13.8,11.5,,0.0,0.0,16.1,2010–2020,5.6,Low Access,Moderate Progress,186,181,193
Somalia,19.9,14.3,5.8,0.5,31.9,24.4,10.9,0.9,1.5,1.3,1.0,0.6,3.8,3.1,13.3,10.2,11.5,8.1,10.1,1.1,7.7,1.0,13.3,9.0,,0.0,0.0,5.6,2010–2020,5.7,Low Access,Minimal Progress,187,187,193
Burkina Faso,15.7,9.0,1.5,0.1,27.6,17.2,3.2,0.3,0.7,0.3,0.0,0.0,3.3,1.8,7.2,4.8,11.7,6.6,6.6,0.3,4.7,0.2,8.6,6.3,,0.0,0.0,6.6,2010–2020,4.9,Low Access,Minimal Progress,188,188,193
Niger,16.5,6.1,1.4,0.4,33.5,14.1,3.5,1.0,0.1,0.0,0.0,0.0,1.4,0.3,5.6,1.7,10.3,3.7,6.1,0.0,4.2,0.0,9.2,6.1,,0.0,0.0,10.4,2010–2020,5.8,Low Access,Minimal Progress,189,189,193
Antigua and Barbuda,,,,,95.5,81.3,71.2,19.4,,,,,,,,,,,,,,,58.3,,2020.0,,,,n/a,,No Data,Insufficient Data,197,197,171
Brunei Darussalam,,,,,94.9,82.3,69.3,7.7,,,,,,,,,,,,,,,53.8,,2020.0,,,,n/a,,No Data,Insufficient Data,197,197,171
Eritrea,,,,,40.5,31.9,21.7,4.4,,,,,,,,,,,,,,,20.4,,,,,,n/a,,No Data,Insufficient Data,197,197,193
Mayotte,,,,,98.2,94.3,75.0,18.3,,,,,,,,,,,,,,,62.2,,2020.0,,,,n/a,,No Data,Insufficient Data,197,197,171
Mauritania,,,,,53.7,36.4,14.2,4.0,,,,,,,,,,,,,,,20.9,,,,,,n/a,,No Data,Insufficient Data,197,197,193
